first_name,last_name,full_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Lucas,REY,Lucas Rey,France,https://top14.lnr.fr/joueur/1896-lucas-rey,Section Paloise,22.8,Section Paloise,37.5,Section Paloise,48.4,Section Paloise,52.4,Section Paloise,48.1,Section Paloise,48.1
Jale Kaikadavu,VATUBUA,Jale Kaikadavu Vatubua,Fidji,https://top14.lnr.fr/joueur/1904-jale-kaikadavu-vatubua,Section Paloise,63.7,Section Paloise,71.6,Section Paloise,62.7,Section Paloise,68.6,Section Paloise,42.0,,
Eliott,ROUDIL,Eliott Roudil,France,https://top14.lnr.fr/joueur/1905-eliott-roudil,Stade Rochelais,54.5,Stade Rochelais,55.5,Section Paloise,54.2,Section Paloise,67.9,Section Paloise,44.2,Section Paloise,38.2
Lekima Vuda,TAGITAGIVALU,Lekima Vuda Tagitagivalu,Fidji,https://top14.lnr.fr/joueur/1911-lekima-vuda-tagitagivalu,,,,,Section Paloise,54.3,Section Paloise,45.6,Section Paloise,49.1,Section Paloise,44.3
Thibault,DEBAES,Thibault Debaes,France,https://top14.lnr.fr/joueur/1930-thibault-debaes,,,,,Section Paloise,39.7,Section Paloise,34.4,Section Paloise,26.5,RC Vannes,24.2
Zack,HENRY,Zack Henry,Angleterre,https://top14.lnr.fr/joueur/1939-zack-henry,,,,,Section Paloise,64.9,,,Stade Français Paris,58.6,Stade Français Paris,56.8
Reece,HEWAT,Reece Hewat,Australie,https://top14.lnr.fr/joueur/1940-reece-hewat,,,,,Section Paloise,44.5,,,Section Paloise,60.2,Section Paloise,42.9
Eoghan,BARRETT,Eoghan Barrett,Irlande,https://top14.lnr.fr/joueur/1941-eoghan-barrett,,,,,Section Paloise,62.2,Section Paloise,66.5,,,,
Posolo,TUILAGI,Posolo Tuilagi,Samoa,https://top14.lnr.fr/joueur/1952-posolo-tuilagi,,,,,,,USA Perpignan,45.0,USA Perpignan,59.9,USA Perpignan,46.6
Boris,GOUTARD,Boris Goutard,France,https://top14.lnr.fr/joueur/1954-boris-goutard,,,,,,,,,USA Perpignan,43.5,,
