first_name,last_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Christopher,TOLOFUA,France,https://top14.lnr.fr/joueur/2354-christopher-tolofua,,,,,,,,,,,,
Charles,OLLIVON,France,https://top14.lnr.fr/joueur/2355-charles-ollivon,,,,,,,,,,,,
Waisea,VUIDRAVUWALU,Fidji,https://top14.lnr.fr/joueur/2356-waisea-vuidravuwalu,,,,,,,,,,,,
Jean Baptiste,GROS,France,https://top14.lnr.fr/joueur/2358-jean-baptiste-gros,,,,,,,,,,,,
Cheslin,KOLBE,Afrique du Sud,https://top14.lnr.fr/joueur/2359-cheslin-kolbe,,,,,,,,,,,,
Gabin,VILLIERE,France,https://top14.lnr.fr/joueur/2360-gabin-villiere,,,,,,,,,,,,
Beka,GIGASHVILI,Géorgie,https://top14.lnr.fr/joueur/2362-beka-gigashvili,,,,,,,,,,,,
Dany,PRISO MOUANGUE,France,https://top14.lnr.fr/joueur/2365-dany-priso-mouangue,,,,,,,,,,,,
Teddy,BAUBIGNY,France,https://top14.lnr.fr/joueur/2373-teddy-baubigny,,,,,,,,,,,,
Matthias,HALAGAHU,France,https://top14.lnr.fr/joueur/2384-matthias-halagahu,,,,,,,,,,,,
Duncan,PAIA'AUA,Australie,https://top14.lnr.fr/joueur/2385-duncan-paiaaua,,,,,,,,,,,,
Ihaia,WEST,Nouvelle Zélande,https://top14.lnr.fr/joueur/2387-ihaia-west,,,,,,,,,,,,
Adrien,WARION,France,https://top14.lnr.fr/joueur/2388-adrien-warion,,,,,,,,,,,,
Bruce,DEVAUX,France,https://top14.lnr.fr/joueur/2389-bruce-devaux,,,,,,,,,,,,
Komiti Junior,ALAINUUESE,Samoa occidental,https://top14.lnr.fr/joueur/2391-komiti-junior-alainuuese,,,,,,,,,,,,
Valentin,DELPY,France,https://top14.lnr.fr/joueur/2414-valentin-delpy,,,,,,,,,,,,
Arthur,RETIERE,France,https://top14.lnr.fr/joueur/2441-arthur-retiere,,,,,,,,,,,,
Rodrigue,NETI,France,https://top14.lnr.fr/joueur/2443-rodrigue-neti,,,,,,,,,,,,
Selevasio,TOLOFUA,France,https://top14.lnr.fr/joueur/2446-selevasio-tolofua,,,,,,,,,,,,
Dorian,ALDEGHERI,France,https://top14.lnr.fr/joueur/2448-dorian-aldegheri,,,,,,,,,,,,
Thomas,RAMOS,France,https://top14.lnr.fr/joueur/2450-thomas-ramos,,,,,,,,,,,,
Francois,CROS,France,https://top14.lnr.fr/joueur/2453-francois-cros,,,,,,,,,,,,
Charlie,FAUMUINA,Nouvelle Zélande,https://top14.lnr.fr/joueur/2459-charlie-faumuina,,,,,,,,,,,,
Melvyn,JAMINET,France,https://top14.lnr.fr/joueur/2479-melvyn-jaminet,,,,,,,,,,,,
Barnabé,COUILLOUD,France,https://top14.lnr.fr/joueur/249-barnabe-couilloud,,,,,,,,,,,,
